Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,51865797.00,50251964.00,3.21%
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,42624050.00,41232432.00,3.38%
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,39873927.00,38593028.00,3.32%
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,32821799.00,31816933.00,3.16%
5,NM,CO,DEN,Denver,Denver International,P,L,31362941.00,29809097.00,5.21%
6,EA,NY,JFK,New York,John F Kennedy International,P,L,30620769.00,29533154.00,3.68%
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,27790717.00,26900048.00,3.31%
8,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,24024908.00,22639124.00,6.12%
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,23795012.00,23364393.00,1.84%
10,SO,FL,MCO,Orlando,Orlando International,P,L,23202480.00,21565448.00,7.59%
11,EA,NJ,EWR,Newark,Newark Liberty International,P,L,22797602.00,21571198.00,5.69%
12,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,22281949.00,22011251.00,1.23%
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,21622580.00,21185458.00,2.06%
14,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,21157398.00,19603731.00,7.93%
15,SO,FL,MIA,Miami,Miami International,P,L,21021640.00,20709225.00,1.51%
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,20006521.00,18759742.00,6.65%
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,18361942.00,18409704.00,-0.26%
18,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,17612331.00,15817043.00,11.35%
19,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17436837.00,17036092.00,2.35%
20,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15292670.00,14271243.00,7.16%
21,EA,NY,LGA,New York,Laguardia,P,L,15058501.00,14614802.00,3.04%
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,13371816.00,12976554.00,3.05%
23,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,12226730.00,11615954.00,5.26%
24,WP,CA,SAN,San Diego,San Diego International,P,L,12174224.00,11139933.00,9.28%
25,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11621623.00,11024306.00,5.42%
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,11366771.00,11506310.00,-1.21%
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,10678018.00,10912074.00,-2.14%
28,SO,FL,TPA,Tampa,Tampa International,P,L,10368514.00,9548580.00,8.59%
29,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,10017149.00,9743989.00,2.80%
30,NM,OR,PDX,Portland,Portland International,P,L,9804868.00,9435473.00,3.91%
,,,30,,Large Hubs,,,,,
31,SO,TN,BNA,Nashville,Nashville International,P,M,8017347.00,6902771.00,16.15%
32,SW,TX,DAL,Dallas,Dallas Love Field,P,M,8011221.00,7593361.00,5.50%
33,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,7714479.00,6813171.00,13.23%
34,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,7631953.00,7194745.00,6.08%
35,SW,TX,HOU,Houston,William P Hobby,P,M,7053886.00,6538976.00,7.87%
36,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,7032851.00,6130878.00,14.71%
37,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,6686603.00,6413842.00,4.25%
38,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,6582066.00,6022318.00,9.29%
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,6258101.00,5692659.00,9.93%
40,WP,CA,SMF,Sacramento,Sacramento International,P,M,5907629.00,5341595.00,10.60%
41,CE,MO,MCI,Kansas City,Kansas City International,P,M,5790847.00,5628581.00,2.88%
42,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,5201642.00,5082716.00,2.34%
43,SW,TX,SAT,San Antonio,San Antonio International,P,M,4844427.00,4382127.00,10.55%
44,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4701713.00,4446555.00,5.74%
45,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4670033.00,4327434.00,7.92%
46,GL,IN,IND,Indianapolis,Indianapolis International,P,M,4655847.00,4343722.00,7.19%
47,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,4602113.00,4364224.00,5.45%
48,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,4269258.00,3791989.00,12.59%
49,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4033412.00,4203766.00,-4.05%
50,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,3976620.00,3689570.00,7.78%
51,WP,HI,OGG,Kahului,Kahului,P,M,3571660.00,3442189.00,3.76%
52,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3496724.00,3414477.00,2.41%
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3278035.00,3164647.00,3.58%
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3270605.00,3110450.00,5.15%
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,3135508.00,2701861.00,16.05%
56,WP,CA,BUR,Burbank,Bob Hope,P,M,2680240.00,2402106.00,11.58%
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2647269.00,2412328.00,9.74%
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2642607.00,2556191.00,3.38%
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2523158.00,2348512.00,7.44%
60,WP,CA,ONT,Ontario,Ontario International,P,M,2498993.00,2247645.00,11.18%
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2454878.00,2243658.00,9.41%
,,,31,,Meduim Hubs,,,,,
62,SO,TN,MEM,Memphis,Memphis International,P,S,2213083.00,2102739.00,5.25%
63,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,2192893.00,1945699.00,12.70%
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,2117409.00,1940806.00,9.10%
65,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,2094708.00,1894289.00,10.58%
66,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,2048916.00,1953028.00,4.91%
67,EA,VA,RIC,Highland Springs,Richmond International,P,S,2048691.00,1822486.00,12.41%
68,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1943181.00,1777642.00,9.31%
69,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1908635.00,1830745.00,4.25%
70,SO,KY,SDF,Louisville,Louisville Muhammad Ali International,P,S,1877861.00,1684738.00,11.46%
71,NM,WA,GEG,Spokane,Spokane International,P,S,1872781.00,1698433.00,10.27%
72,EA,VA,ORF,Norfolk,Norfolk International,P,S,1846031.00,1694329.00,8.95%
73,WP,HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,1829020.00,1764995.00,3.63%
74,WP,AZ,TUS,Tucson,Tucson International,P,S,1753227.00,1669928.00,4.99%
75,WP,GU,GUM,Tamuning,Guam International,P,S,1736131.00,1566429.00,10.83%
76,WP,HI,LIH,Lihue,Lihue,P,S,1644590.00,1535075.00,7.13%
77,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,1631398.00,1412132.00,15.53%
78,SW,TX,ELP,El Paso,El Paso International,P,S,1605486.00,1450115.00,10.71%
79,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,1504888.00,1434990.00,4.87%
80,SW,OK,TUL,Tulsa,Tulsa International,P,S,1482908.00,1374424.00,7.89%
81,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1457562.00,1333967.00,9.27%
82,EA,NY,ALB,Albany,Albany International,P,S,1440674.00,1393666.00,3.37%
83,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,1356660.00,1192340.00,13.78%
84,CE,IA,DSM,Des Moines,Des Moines International,P,S,1347876.00,1257521.00,7.19%
85,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1281908.00,1205774.00,6.31%
86,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,1254307.00,1131959.00,10.81%
87,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,1163883.00,1055970.00,10.22%
88,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1139568.00,1013149.00,12.48%
89,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,1133012.00,1051089.00,7.79%
